Horizontal_vibration_signals,Vertical_vibration_signals
-0.1616358943283558,0.08970499970018864
0.1816154085099697,1.2875795364379883
0.4260658845305443,0.5779623985290527
-0.08242130279541016,0.49471858888864517
0.2195597067475319,-0.3201841935515404
0.011467899894341826,-0.25639530271291733
0.12975930236279964,-0.227737408131361
-0.29311180114746094,0.7477045059204102
-0.5092620849609375,0.12005570344626904
0.4019021987915039,0.40516849607229233
-0.041496800258755684,-0.06220339797437191
-0.4549502953886986,-0.39511919021606445
0.2863645926117897,0.40913820266723633
-0.3831624984741211,1.0813236236572266
-0.8460521697998047,0.4857778921723366
-0.03178119892254472,0.39702650159597397
0.04115100018680096,0.2296447940170765
-0.34823421388864517,0.12434720061719418
-0.21715160459280014,0.4099845886230469
-0.29577020555734634,0.5427360907196999
-0.029158599209040403,-0.40694478899240494
0.4725337028503418,-0.3854275122284889
0.3545045852661133,-0.5957483872771263
0.39621591567993164,-0.4626036062836647
0.8849381655454636,-0.35091638565063477
0.06517169997096062,0.012850799830630422
0.017523800488561392,-0.9354115277528763
0.7257937639951706,-1.1553764343261719
-0.2570747956633568,-0.8825421333312988
-0.569462813436985,-0.3364444151520729
-0.14894009567797184,0.06505249999463558
-0.5057692900300026,0.04905459936708212
-0.043666400015354156,-0.2626181021332741
0.058615198358893394,-0.7271050661802292
0.20056959241628647,0.22695060819387436
0.214004497975111,0.6599187850952148
-0.2693294920027256,1.2308598309755325
-0.3123879060149193,0.6256222724914551
0.045359102077782154,0.7513284683227539
-0.029945399146527052,0.18843410536646843
-0.19459720700979233,0.8840203285217285
-0.5917071923613548,0.4483342170715332
-0.18802879378199577,0.9027361869812012
0.15767810866236687,0.4415750876069069
-0.48067569732666016,-0.03269910113885999
-0.2537369914352894,-0.23095609620213509
-0.10364060290157795,0.6464958190917969
-0.5173325911164284,-0.08388759568333626
-0.5560874938964844,-0.9202480316162109
-0.21351579576730728,-1.5767097473144531
0.1064062025398016,-2.0493388175964355
0.23419860750436783,-1.447761058807373
-0.4353165999054909,-0.8039712905883789
0.23183820769190788,-1.117384433746338
0.6716489791870117,-1.701653003692627
-0.5036234855651855,-1.4902353286743164
